,body,clusters_0,sentiment_positive_score,sentiment_negative_score,sentiment_combined_score,sentiment_summary,published_date,post_type,total_engagement,comments,shares,likes,author_gender,followers
511,", , Just said much the same thing. There were kids on the news talking about how hard the last year's been, how terribly stressful it was, what a tough time they've had! God help them when they've to go into the big, bad world and work for a living, pay bills, put food on the table.",Cost of Living,1.153996424,4.316675767,-1.665828129,negative,2021-03-31,Replies,0,0,0,0,Unknown,365
740,", me too I'm self employed but not Ltd but many people I know are and in a similar position. the way I see it is tory tax rises will adversely affect small business's the most just like their tax cuts are of least benefit to those on lower incomes",Low Income Families,3.111404021,1.153996424,0.645269419,neutral,2021-02-25,Replies,0,0,0,0,Male,3279
361,", You do know raising the min wage means costs rise as they are just passed on? So care homes become too expensive, delivery costs rise, so everything rises in price into a country where the very sick & poorest have had their money cut. How many business would survive that?",Pay Rises,1.734928385,2.66749587,-0.77674761,negative,2021-09-28,Replies,0,0,0,0,Unknown,9
345,", , , It's a better answer than what's happening now. Just because you don't understand how, doesn't mean some don't struggle. Increased state aid reduces the need for food banks. It might even allow people extra freedom to retrain for a higher paying job, reducing their reliance.",Job,4.917797974,2.156721211,0.477698163,positive,2021-05-23,Replies,0,0,0,0,Male,48
313,", , , I criticise him for underpaying his tax, not failing to pay it, therefore I am quite correct. Don't have any thoughts either way about him or F1 but abhor all tax evasion/avoidance regardless of who it is",Small Businesses,2.243991828,2.931919626,-0.613974615,negative,2020-12-31,Replies,0,0,0,0,Male,147
344,", the fact you try and scaremonger the common people when nurses bask for a fair and just pay rise by saying they “might raise fuel and vat and income tax” is disgusting. How about you put a fair tax on your millionaire mates rather than those working on the front?",Low Income Families,3.183324539,2.208222872,0.019164451,neutral,2021-02-28,Replies,0,0,0,0,Unknown,54
321,", , , That, is a meaningless statement. By the way. It's the average income that hit the most by that. If you don't understand economics, that's cool. But don't act like the Tories raising tax is bad but the SNP raising tax is good. It's a bullsh*t tribalist stance.",Leaseholding,1.318853056,5.390734273,-1.754492733,negative,2021-10-03,Replies,0,0,0,0,Male,122
532,", , True, but then again I've been busy working paying taxes to fund his lavish lifestyle. Enjoy your serfdom. Who in their right minds takes money from neonates born into abject poverty to pensionsers so poor they freeze to death in their own homes.",Low Income Families,3.635651396,3.869009801,-0.408783903,negative,2021-04-10,Replies,0,0,0,0,Unknown,112
541,", In an ideal world that would be good but alas our world is far from ideal. As a nurse who has worked frontline I know a pay increase is not a viable option....we don't have money trees!",Leaseholding,2.843600297,3.24946592,-0.479993281,negative,2021-03-09,Replies,0,0,0,0,Female,34
324,", I agree strongly with this thread. However, three points on pay (1) MPs need to stay in touch, and be seen to stay in touch, with their electorate. Increasing pay might damage this (2) higher pay might attract the wrong people and (3) there are other valuable underpaid PS workers",Poor Pay,2.074269348,2.949704363,-0.69866957,negative,2021-10-17,Replies,0,0,0,0,Unknown,117
325,", , , What a totally unfair comment. I was brought up on a council estate we were very poor. My dad worked two jobs and my mum worked. Rent was always paid. We had food, good shoes, a decent bed. The majority on that estate paid their way. My sisters and I have worked hard & succeeded.",Council Tax,3.183324539,2.208222872,0.019164451,neutral,2021-07-29,Replies,0,0,0,0,Female,112
326,", All to fit their narrative, and more ammunition for their new ‘friends’. The cold and bullying RF making it impossible for poor H to pay respects to his own mother (who only had one son apparently) you can see the headlines already 🥱",Government Support,4.148538695,2.992244175,-0.019841106,neutral,2021-04-26,Replies,0,0,0,0,Unknown,112
327,", , , , Thank you for all your doing, i fall into the group paying tax yet unable to claim, the chancellor will need our help rebuilding the countries finance's and employing others, if we fail so does he, unemployment & benefits bills will rise as we go bust, less people will risk again",Cost of Living,3.300854463,2.66749587,-0.133532383,neutral,2021-01-17,Replies,0,0,0,0,Male,109
530,", All current conflict is down to having a very poor national Government and an unexpected, new, notifiable disease. Irksome to the arrogantly unprepared they failed to seal borders, fund our excellent local GP/Council public health and help folk isolate. We are paying the price.",National Insurance,1.421800148,6.535713041,-1.871931264,negative,2021-03-14,Replies,0,0,0,0,Unknown,123
542,", We need to slow down our push towards net zero. We'll protect the poorest in society while we keep pace with the rest of the world. We're trying to leap ahead at huge cost and the poorest will pay for it, meanwhile the rest of the world spread the costs. Supplemented by coal etc",Cost of Living,2.437371683,3.810708386,-0.793468411,negative,2021-10-20,Replies,0,0,0,0,Unknown,25
543,", , , Yeah let’s get the corrupt tories in the door, let them strip us of devolution, let’s pay for our care services,privatise the NHS,force Brexit &English nationalism on us,stop feeding hungry kids,and god forbid pay for the poor to go to university or give them free prescriptions!",Social Care,2.891547309,4.349932426,-0.754942141,negative,2021-02-25,Replies,0,0,0,0,Female,24
330,", Not all NHS staff, many aren’t front line, but I do get the sentiment. We also frequently forget about the low paid NHS support staff that aren’t directly employed by the NHS & are not afforded decent sick pay & pensions. I’d favour a much bigger 10+% for the lowest paid.",Poor Pay,2.396274244,5.538685054,-1.184415575,negative,2021-07-22,Replies,0,0,0,0,Unknown,99
544,", , So we need another 8000 houses or so Budge Up . Well at least i will not be paying this £2 Trill debt off it is down to the youngsters now , pity the poor tykes never to own their own home .",Government Support,2.437371683,3.769610947,-0.78262511,negative,2021-03-25,Replies,0,0,0,0,Male,11
526,", , I think he or she gave the reasons. Interestingly enough close ones of mine are in the care and hospitality sectors. They’ve had pay rises because of hiring difficulties. I’d see that as a good thing. Middle class Remainers would see it as a problem.",Low Income Families,2.478469122,2.564780721,-0.380805496,negative,2021-08-30,Replies,0,0,0,0,Male,159
525,", @_yassiii_ Talking reality. A poor family can never able to afford to pay PHD unless Government pays for it. And there are many other Afgan refugees who are not as privilidged or able to make it at the other end of the sea while crossing the borders!",Poor People,6.294728561,2.765745984,0.475828562,positive,2021-09-01,Replies,0,0,0,0,Female,167
333,", , , , Fancy that. Well thanks for letting us know that government ministers get paid more than MP's or MSP's. What a revelation, what journalism. Now get back in your corner wrapped in your butchers apron while you manufacture another Scotland bad story.",Government Support,5.549371117,1.490714887,0.967855224,positive,2021-08-28,Replies,0,0,0,0,Unknown,85
334,", It’s a sad situation when decisions are made to close (some) libraries but this is a decision which has been rather forced upon a Council which Labour left with a multi million pound deficit due to a grotesquely unfair gender pay imbalance and subsequent compensation payouts",Council Tax,2.490520136,5.162382497,-1.075480209,negative,2021-07-03,Replies,0,0,0,0,Female,82
534,", 'Muchneeded income' is (in theory) provided by the taxpayer. Doctors and nurses have enough on their plates (pun not intended) before chasing patients, waving a card machine. If the quality is bad, spend more and improve the food. Bad idea.",Poor Pay,2.478469122,2.482585843,-0.348233206,negative,2021-03-30,Replies,0,0,0,0,Male,93
314,", , Brexit is like Britain shooting itself in the foot because it can't be bothered to scratch an itchy toe! Zero benefits and just pain and disruption for so many businesses, loss of income and a much poorer Britain!😡",State Pension,2.132700223,4.316675767,-1.051670311,negative,2021-08-09,Replies,0,0,0,0,Male,142
315,", Ahh, the poor lad! Some people will never get it. I can say with certainty that his future is watching his disposable income gradually depleted to zero as he is one of the few still buying horrendously expensive dead dinosaur juice.😂",Poor People,1.490714887,5.851461714,-1.714009291,negative,2021-08-29,Replies,0,0,0,0,Male,140
536,", Kevin the state pension is not a generous living wage and this Tory betrayal is criminal The nic increase for normal working people is also criminal We deserve better politicians",Low Income Families,4.148538695,4.64071708,-0.458686337,negative,2021-09-07,Replies,0,0,0,0,Male,50
316,", You are essentially saying that some employers don’t pay enough to live on. Thus effectively arguing against yourself. Bills are rising this is true so why are you arguing that the poorest in society should suffer even more? You should be campaigning against tax evasion instead.",Cost of Living,1.421800148,2.949704363,-1.076354761,negative,2021-10-06,Replies,0,0,0,0,Unknown,135
341,", , So what wage should someone bringing food get? Would you be happy paying 4x as much for the food to increase their wages? If people can't afford the increased cost, they don't purchase the items, the service folds & the people delivering end up with no wages at all..No better",Cost of Living,2.437371683,1.526999606,0.121041921,neutral,2021-07-04,Replies,0,0,0,0,Male,67
508,", @1frazzled1 Oh, for sure. I loved all my nursing roles, whatever the pay. But oddly(!) the wellpaid ones didn’t expect me to sacrifice fun or satisfaction. The poorlypaid ones expected me to be content without the money. 2 out of 3 ain’t bad, but it ain’t brilliant.",Government Support,4.398193031,3.113247642,-0.001046248,neutral,2021-04-09,Replies,0,0,0,0,Female,383
533,", , , Did you like his defence that a multi millionaire in a free mansion from the government is OK because the cost are met from a charity, not the tax paying public. How can you defend them? The NI increase will cripple families.",Cost of Living,6.854309516,1.490714887,1.179048196,positive,2021-09-22,Replies,0,0,0,0,Unknown,107
339,", I think Oprah Winfrey should be quizzed as to why she didn't be more thorough with the questioning and why she accepted every accusation at face value? Poor on her part but maybe that's what an alleged 9million pay cheque does for you.",Government Support,3.183324539,2.172262613,0.03558321,neutral,2021-03-13,Replies,0,0,0,0,Unknown,71
318,", , , , , , , , @07985Bill , , , , , , , , @2351onthelist , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , They are. But they're using the poorest people in the EU to do the unskilled work no else else wants to do. They'll the poorest paid. The EU has a skilled labour shortage nurses). But you don't care about the poor. They're just a political pawn for you. ,",State Pension,3.412320356,3.956895518,-0.494640832,negative,2021-10-11,Replies,0,0,0,0,Unknown,133
336,", , , You’re making Tory arguments of we can’t afford pay rises for the working class. I heard it when we introduced the Minimum Wage. Redistribution *might* mean slightly more expensive lattes, and milkshakes, but it’ll also mean big bosses will get less of a share of the huge profits",Low Income Families,2.517891424,2.638727663,-0.393448631,negative,2021-08-30,Replies,0,0,0,0,Male,73
535,", , , , Nurses have to do a degree, three years university at 9000 tuition. For a terrible wage. I agree, they should all get pay rises and better working conditions(good luck getting that off the Tories). You're the one arguing that nurses should shut up and be grateful.",Pay Rises,5.068811619,1.118036165,1.164959083,positive,2021-07-22,Replies,0,0,0,0,Unknown,67
523,", , , , , , Sure, but that doesn't mean forgoing strike action, which can mean the diff in life/death, particularly those in working poverty. It's a continual struggle between the worker and the employer, either wages are stagnant and reduce in value with inflation or you strike.",Low Income Families,1.706160178,5.226407552,-1.466052404,negative,2021-11-09,Replies,0,0,0,0,Male,189
749,", Lord my mum is just drained. Teachers want them to be open but to be safe. It’s far more disruptive to have schools opening and closing because staff are ill and bubbles bursting. But provisions for homes with multiple children and low income / poor internet need to be considered",Public Sector Pay,3.14736428,3.298409579,-0.393448631,negative,2021-01-04,Replies,0,0,0,0,Male,1834
335,", I object to it because I already can’t afford to live working 40+ hours a week. As many have already said, costs have skyrocketed (thanks brexit!) while wages have been stagnant and well short of inflation for years. I’m forced to get by on one meal a day, it’s all I can afford!",Poor People,4.244432719,4.397879438,-0.382087893,negative,2021-09-05,Replies,0,0,0,0,Unknown,74
317,", , My wages, WTC and widowed parents allowance means I earn slightly over the threshold for council tax rebate, school uniform grant, free school meals etc. Not all low income families qualify for these and it’s worth remembering that one wage families struggle too",Low Income Families,4.756603815,2.523683282,0.287240885,neutral,2021-04-13,Replies,0,0,0,0,Unknown,134
340,", , , Yes and you have to pay extra on top of your insurance policies and an ambulance costs $1000. All free in the UK. Yes they have more money to spend, but the poor get very little help. I wouldn't want to live in such a selfish and materialistic country. Good luck with it.",State Pension,5.188436359,1.738437166,0.746872253,positive,2021-01-09,Replies,0,0,0,0,Unknown,68
459,", , I’d ask how the FUCK they are trying to…blame McDonalds’ wages for the rising costs of daycare…?!? but I suspect the answer will be something that makes me want to stab myself in the eye if it’s not just a “entitled person throws random things at the wall”.",House Prices,2.795653285,5.851461714,-1.085199273,negative,2021-10-15,Replies,0,0,0,0,Unknown,1757
574,", , I really hope the Government will pay as it is scandalous that ordinary people are been fleeced for £1,000s due to poor building regs. The building companies should be paying for it too. Those affected are the worst kind of mortgageprisoners and deserve a reprieve from this hell",Poor Pay,3.603686721,1.9309001,0.277397553,neutral,2021-04-26,Replies,0,0,0,0,Male,39
440,... bad credit makes you pay even more for stuff over and above it’s actual value. It’s a system that locks in poverty and is proof that social mobility is a myth. It also doesn’t work on its own terms. The article references a study A in Baltimore which found that... 7/,Government Support,3.638085188,3.687416069,-0.360042055,negative,2021-06-07,Replies,0,0,0,0,Male,4730
794,"This will only prolong the pain of this crisis, slow down recovery and Growth, which in turn shrinks Gov revenues over time. Plus, there is more to Consumption than paying for transport and snacks. Consumption is also paying bills and buying groceries.",Wage Growth,1.490714887,5.851461714,-1.714009291,negative,2020-11-12,Replies,0,0,0,0,Unknown,139
438,", , , A space race is NOT a good example. Space does NOT ""represent hope for so many people."" Many people need a home, food, clean water. If you rich ones paid your way for the infrastructure you use here on Earth, poorer people cd have the basic necessities of life instead of being 1/",Rich People,2.891547309,3.540250574,-0.548979339,negative,2021-07-15,Replies,0,0,0,0,Female,5267
795,", Until they pay properly for isolate, poor peeps will not be able to stay at home. It will fail until they do this.",Government Support,4.148538695,4.750995208,-0.482171553,negative,2021-02-26,Replies,0,0,0,0,Female,124
436,", , Might have some credibility if they hadn't just slashed the international aid budget to give loads of dosh to their mates in dodgy contracts. They just don't like paying tax to help people who are poorer than them. We are not in it together.",Rich People,5.687200594,3.562999081,0.121041921,neutral,2020-12-18,Replies,0,0,0,0,Female,5607
796,", , I can't help noticing you completely ignored my points for detecting Toryidm. ""Extreme"" to detest the cause of child poverty, attacks on disabled, low income economy and English Nationalism that has resulted in a disastrous Brexit. To you that is ""extreme""? Wow.",Low Income Families,1.551054707,5.491836821,-1.61090121,negative,2021-07-29,Replies,0,0,0,0,Unknown,103
797,", , , , The graph shows that the lower the household income the lower the access to a car. Increased CCZ, ULEZ & other proposed charges will hit the poorest the hardest. Cars offer a form of freedom to escape the cities, especially for large families who can’t afford rail fares",Low Income Families,4.715506376,1.277755617,0.959177602,positive,2021-04-19,Replies,0,0,0,0,Unknown,96
793,", I’ll go through this, again, for the umpteen time then. I am a long standing customer who no longer wishes to pay your exorbitant prices when you do better deals for new customers. I also reject your £4 a month price increase. virginmedia RipOffBritain",Government Support,2.843600297,5.998405332,-1.092996287,negative,2021-01-14,Replies,0,0,0,0,Unknown,151
798,", The fact is that she is deluded and dysfunctional because of her obsessive behaviour of breaking the union that I will never never happen trust me . People have no jobs , meal , income , home, homelessness has now increased , Mental illness /suicidal is up now , education and so",Poor Pay,2.437371683,3.769610947,-0.78262511,negative,2021-03-31,Replies,0,0,0,0,Unknown,94
430,", , , Quite sad, she lost her title although William promised to return it when he was king. 17mil settlement and a 300k+ annual “wage” not a bad divorce. The Queen didn’t mind her keeping the title, but Charles did, as it was humiliating for her. No longer having status, and having...",Poor Pay,1.725516284,6.220368838,-1.628876493,negative,2021-03-08,Replies,0,0,0,0,Male,7809
800,", , , , Fat America and its only a myth that America has better teeth.in America its fucking expensive to get your teeth taken care off.uk it's free if you cart pay.so Hollywood might have white teeth but 60% of Americans have bad teeth",Social Care,3.14736428,3.26244932,-0.382486462,negative,2021-03-31,Replies,0,0,0,0,Male,14
428,", , Yes! All now agree pandemic budget wrongly cut, insecure lowpaid workers unable to isolate, were central problems. Both the consequence of deliberate policy. So let's find a scapegoat instead and keep kicking the low paid and starving public services. Ffs.",Poor Pay,1.290301516,5.362081756,-1.771049953,negative,2021-05-26,Replies,0,0,0,0,Unknown,9818
427,", , , Agree figures are both historically low (with the ludicrously low rate of pay a big factor in that) and pretty steady. The drop in statutory paternity pay last year is no doubt due to the pandemic & furlough (so, not a trend). EMW somewhat overegging it with ""10year low"". ,",Statutory Sick Pay,4.481898403,1.118036165,1.041899395,positive,2021-08-24,Replies,0,0,0,0,Unknown,12044
801,", , Crappy report on Sheikh Jarrah. No mention of the court case, the Supreme Court or Palestinans failutre to pay rent. And you cut off your interviewee when he tried to explain it was a Real Estate issue. Very very poor journalism. Tenant eviction isn’t a war crime. Utter nonsense.",Wage Growth,2.489123217,5.226407552,-1.088367213,negative,2021-05-20,Replies,0,0,0,0,Male,13
802,", , , , They’re some of the best players in the world on hundreds of thousands a week not a minimum wage worker surviving pay check to pay check. They can 100% afford to speak out and if they lose their jobs, they’re skilled enough to find another one easily. Poor comparison.",Minimum Wage Increase,5.176692396,1.153996424,1.154361659,positive,2021-04-19,Replies,0,0,0,0,Unknown,13
803,", , , , , Higher wages doesnt always help, places that pay minimum wage will potentially employ less people or put them on shorter hours, they won’t want to hit their bottom line, or prices increase to cover the difference",Minimum Wage Increase,4.193479927,2.765745984,0.069646937,neutral,2020-12-16,Replies,0,0,0,0,Male,9
431,", , Not much and so is inflation (and taxes). Wage rises without productivity will stuff the economy. You’re trying to argue from one extreme outlier in one sector. What will happen is: the jobs will go abroad. Happening already.",Pay Rises,1.490714887,4.64071708,-1.482186693,negative,2021-10-03,Replies,0,0,0,0,Unknown,7489
423,", , , class inequality. London has the highest rates of child poverty, and lowest disposable income. I think that's worthy of analysis. It's not about saying 'oh, the North is privileged'.",Mental Health,2.795653285,2.89635015,-0.381959153,negative,2020-11-23,Replies,0,0,0,0,Unknown,272328
466,", Whilst the likes of twickets restrict the resale of tickets with unfair terms and conditions only to sell platinum priced tickets for the acts they manage such as Little Mix and JLS. Very fair for consumers, not. Force them to pay high, then sell low and not below face. Flawed.",Income Tax,1.153996424,4.388596286,-1.682351944,negative,2021-07-09,Replies,0,0,0,0,Unknown,1403
791,", , , , , , , , , , , , , , , , , , , , , Irrelevant without considering the income of today's express train passengers. Because express services are merely moving to HS2. We gain many more local services, which according to you is what ""the poor"" need",Mental Health,2.478469122,3.728513508,-0.754942141,negative,2020-11-12,Replies,0,0,0,0,Unknown,157
779,", I've worked hard for 25 years now. My income will fall next year EVEN IF I get an inflationary pay rise (which hasn't happened in over a decade). My wife has had her payrise for next year already and, you've guessed it, below inflation. How does this budget support our family?",House Prices,4.196485707,4.44582645,-0.404291931,negative,2021-10-28,Replies,0,0,0,0,Male,325
780,", , , More like 20 to 30 years. A shock like Brexit to the UK economy takes decades to work through. Most of the old Tories that voted for Brexit will be dead by then and the poor working people of this country will have to pay for the mistakes. Not sure N.Ire. will survive it.",Low Income Families,3.68640845,4.064720513,-0.444265912,negative,2021-09-22,Replies,0,0,0,0,Male,299
456,", The problem with taxing the super rich is that they have the money to leave UK and go somewhere that won't tax them. People will have pay more tax, number claiming state pension is going double over next 17 years. Number of over 90s to increase from 605k to 11m over 17 years",State Pension,3.354783942,3.590693009,-0.414531444,negative,2021-09-14,Replies,0,0,0,0,Male,1867
781,", The problem with the scheme is its disproportionately unfair. Most on furlough now are shop staff and hospitality staff who earn mostly minimum wage as it is, knock that back to 80% and it’s even less.",Minimum Wage Increase,2.168660482,4.388596286,-1.051473326,negative,2021-02-08,Replies,0,0,0,0,Unknown,296
731,"We still actually need to wear clothes every day, so not entirely sure what the savings are unless work from home means work naked?! (Please god no). Whilst I’m not paying pret prices, three meals a day are now in the home so food bill has hugely increased. 3/",House Prices,1.118036165,1.336124655,-0.524773244,neutral,2020-11-12,Replies,0,0,0,0,Male,9167
462,", , Seeing all the good advice and hope she is encouraged by it why is it that those who have the highest intentions to pay their share of tax are those with lowest incomes and vice versa? Good luck to her I was worried about handling tax from training for fees but it was easy",Leaseholding,5.736048202,1.73781009,0.847571165,positive,2021-06-11,Replies,0,0,0,0,Male,1499
784,", , , Your electric car does as much or more damage to the environment than an efficient ICE The only climate catastrophe is the one hitting the elderly on low fixed incomes, who can no longer afford to heat their homes as energy prices are raised through ‘green’ subsidies",Cost of Living,1.846394278,5.643657835,-1.463871299,negative,2021-04-20,Replies,0,0,0,0,Male,257
443,"'But Pete,' I hear you say, 'doesn't it display a stagnant overpopulated earth in which your cherished l/acc basic income has solidified cosmic class divides? Doesn't it portray a Red Mars whose technocommunist dream is unravelling? Isn't all this a bit antil/acc?' Fuck no.",Low Income Families,5.035782849,3.533156595,0.007803714,neutral,2021-01-12,Replies,0,0,0,0,Male,4386
309,", , Yeah. But who cares that Hungary has the highest inflation in the EU, and the 3rd lowest in wages. We reduce your income tax so you can pay 27% VAT. Costs are soaring, 2nd worse Covid death rate, but hey look,vaccinces. And we protect Party interests. I mean national interests.",National Insurance,3.358390878,1.766578297,0.295843853,neutral,2021-09-05,Replies,0,0,0,0,Unknown,159
787,", Absolutely right, and for this we need a care plan that includes prevention as much as fixing illhealth. But today's debate, wrongly or rightly, is about paying for it and NI rises are BungForBoomers and not a fair payment plan. This proposal undermines necessary reform",Social Care,3.738714281,2.5391461,0.040340343,neutral,2021-09-07,Replies,0,0,0,0,Unknown,218
777,", If people feel so strongly about this, where does it end? Supporting a gov't to employ taxation against unrealised gains of assets sets an extremely poor precedent If they want fair taxation, the gov't should use inflation by itself printing money. That way everybody pays fairly",House Prices,4.804013674,1.472148581,0.836155207,positive,2021-11-06,Replies,0,0,0,0,Male,348
464,", , , I work in a highly skilled job and have a BSc and 30 years experience in a field that I consider worthwhile. Nurse’s pay has been unfairly low for a long time. It is not reasonable to suggest that highly skilled workers “just leave” when they’re arguing for a decent wage.",Job,4.601504352,3.103400789,0.047311154,neutral,2021-03-07,Replies,0,0,0,0,Female,1472
447,", , ‘Wealth tax’ is bad communication. The Tories love it because they will use it to terrify anyone with a few grand in the bank achieved through hard saving. Tax if then spent properly is an investment. Link tax to solutions & improvements & people understand the need to pay.",Income Tax,5.439498609,2.931919626,0.271455928,neutral,2021-09-07,Replies,0,0,0,0,Unknown,3320
776,", , , Yeah sorry, that was badly phrased.Nursing of course is a skilled, professional job and I didn't mean to imply otherwise They take advantage of nurses as they know people genuinely care about the patient and don't enter the service for the money, so the wages are unnaturally low",Job,2.798659065,2.150992707,-0.083362653,neutral,2021-09-28,Replies,0,0,0,0,Unknown,356
789,", I think this is the root of the problem, these people don’t want to actually help the poor. They are bitter about paying taxes and don’t want to live in a society where we have children sleeping in their own beds… they want an extra holiday fuck everyone else. Zero compassion!",Income Tax,3.635651396,1.962864775,0.26980968,neutral,2021-10-25,Replies,0,0,0,0,Female,187
790,", , There may be a significant collapse in the wage of HGV drivers, as well as the gas price, following supply increases. The question I suppose is whether that will occur before inflation expectations rise and a wageprice spiral sets in.",Poor Pay,4.196485707,2.944297162,0.007803714,neutral,2021-10-05,Replies,0,0,0,0,Unknown,158
786,", , Lost in real terms undeniable that living standards have increased for the majority since 80s, but we have started seeing a steady decline in living standards over the past half decade as a result of poor wages, 0 hour jobs,public sector pay freezes alongside cuts to welfare",Public Sector Pay,4.337320963,4.488366262,-0.380805496,negative,2020-12-29,Replies,0,0,0,0,Unknown,251
492,", , , , , I’ve already mentioned the in work poverty group contains the highest number of poor people. Why do those people need to claim benefits? The U.K. min wage isn’t even in the top 5 in NW Europe and our benefits system is nowhere near the most generous. You’re parroting Tory lies.",Poor People,4.141353917,1.73781009,0.521823425,positive,2021-06-29,Replies,0,0,0,0,Unknown,661
467,", The tories actively want more poor people. That means it could be you next. Its their policy. More poor and desperate people means lower wages and higher profits. Don't punch down on those on less than you. Get the Tories out and build a fair society.",Low Income Families,5.275645672,0.993809924,1.322736797,positive,2021-03-06,Replies,0,0,0,0,Male,1399
469,"Moreover, over 400,000 lowincome private renting households in the North and Midlands are currently paying rents they cannot afford. The solution has to be a better tenure mix for new builds, with the delivery of more social rent homes in particular.",Low Income Families,2.23607233,2.765745984,-0.559163082,negative,2021-10-06,Replies,0,0,0,0,Male,1336
738,", Ah yes, the same reason some suggest due to the tax increase it is not worth taking a pay rise. When you will still actually end up with more money.",Poor Pay,4.148538695,1.781499541,0.498727112,positive,2021-09-08,Replies,0,0,0,0,Unknown,3644
761,", , , Solution; keep everybody on poverty wages 🙄 if companies want workers, they have to be attractive to work for, yes it's that simple. My dad and brother's wages have been increased by 15%, inflation hasn't risen by 15%; we had this nonsense in 97' on introduction of min wage.",House Prices,5.453477093,2.89635015,0.286228438,neutral,2021-08-08,Replies,0,0,0,0,Female,919
498,", , When termination is not accessible legally and openly, rich women will travel elsewhere and pay for help. Poor women just end up dead. Terminations and the reasons for them don't magically stop.",Rich People,5.035782849,3.956895518,-0.105464353,neutral,2021-09-01,Replies,0,0,0,0,Unknown,554
739,", , , Well paid? What planet are you on? Nurses salaries are awful for the work they do. A 1% Rise is a joke when council tax is U.K. 1.6%. Their salaries do not reflect living wage. Lots of staff shortages but I don’t see these people complaining about their lack of job retraining?",Council Tax,3.412320356,5.162382497,-0.760579271,negative,2021-03-05,Replies,0,0,0,0,Female,3370
804,", , , U’r right it won’t. Racist people will always be racist, but now they have a online platform to do it anonymously whilst paying lip service to ‘all lives matter’. If anything this increased racism shows how racist people really are and them trying to openly ‘justify’ it",Mental Health,2.974623869,3.165553474,-0.408783903,negative,2020-12-30,Replies,0,0,0,0,Unknown,6
805,", , ScotGov NHSStrike NHSPay it's disgusting that an NHS pay increase protestor is arrested and fines £10k esp when police turn a blind eye to wealthy footballers, their supporters and even team managers who condone it. So was this really about covid or support for Westminster?",Poor Pay,3.55589031,2.482585843,0.012731185,neutral,2021-03-07,Replies,0,0,0,0,Female,5
500,", They haven't been paid for this. The burden of proof shouldn't lie with them. The poor woman felt suicidal and wasn't allowed to get the help she needed. bekind",Government Support,3.428318857,3.24946592,-0.292994229,neutral,2021-03-08,Replies,0,0,0,0,Male,529
495,", Which is not the same as saying eat out to help out, prioritise profit, or rush back to the office (I'm at home), but any benefits of this are a long way off and many lower and middle income people will never recover from the experience of 2020/21.",Low Income Families,5.916219881,2.785256503,0.40678415,positive,2021-02-03,Replies,0,0,0,0,Male,606
764,"(this is why I can't share the outrage about how Amazon workers are treated. For some reason only Amazon gets outrage and it's *common* for lower waged jobs to be this shitty. Sure, better conditions are needed, but it's not Amazon that's the issue. It's late stage capitalism)",Poor Pay,3.354783942,3.47562018,-0.381959153,negative,2021-08-28,Replies,0,0,0,0,Female,790
501,", , , Yep. I took out loans and had to pay quite substantial international fees. These were smaller than the equivalent US fees, but still it was a pretty poor life choice. Also living in the second most expensive city in the UK didn't help... One advantage to the US is TA funding.",Leaseholding,3.66761607,2.198275288,0.165295196,neutral,2021-01-15,Replies,0,0,0,0,Male,518
759,", , The key reasons for these events are as follows... 1) lack of separation between politics and policing. bias on identity or characteristic too strong atm 2) poor recruitment, pay and selection processes. 3) poor choices based on poor training. We need strong people as police",Low Income Families,2.891547309,2.89635015,-0.348233206,negative,2021-05-22,Replies,0,0,0,0,Male,1005
503,", , , The salary is not as important as how much you can buy for it. If the inflation is low and taxes are low you can earn less but afford more... It's quite complicated. Yeah, international corporations make money on everything, because they have political connection...🤷🏻‍♂️",Poor Pay,1.538661899,3.297412932,-1.10879865,negative,2021-01-17,Replies,0,0,0,0,Male,437
504,", Sorry, I don't agree. The country went into debt paying for all the furlough, extra community funding, UC temporary uplift & cost of PPE etc. The illegals put more strain on the system. Pensioners didn't receive any help & now being shafted on their pension increase.",State Pension,3.469856771,5.568860496,-0.819650728,negative,2021-09-22,Replies,0,0,0,0,Unknown,432
505,", Spreading a deadly virus, in a church, that will probably kill your neighbour, to defend an atheist billionaire that doesn't pay tax that would help the poor, who tried to take away your healthcare & is trying to become a dictator, to won the libs.",Statutory Sick Pay,2.517891424,5.255175759,-1.082365225,negative,2020-12-07,Replies,0,0,0,0,Male,432
506,", , The cost of Brexit, no more payments to Brussels. The countries that contribute will have to pay more, the recipient countries will not want less. Tax rises do not strengthen an economy. If the money come from London it comes from investors not tax payers.",Pay Rises,4.47214466,5.344498622,-0.524773244,negative,2021-05-29,Replies,0,0,0,0,Unknown,407
460,", , Typical Tories, don't even pay their bills on time. We used to find this in 'real life'. Poor people on the other hand cash ready.",Poor People,5.783094618,3.687661312,0.103372884,neutral,2021-09-12,Replies,0,0,0,0,Male,1538
491,", , , we were having a long Twitter chat about this. Can't believe how many are being duped by Sunak. Even no.1 neolib economy: US sends stimulus checks direct to people (one off UBI?) Furlough is generous, but paid to corp. employees. Poor will pay. Very Bad decision.",Long Hours,2.765692463,2.867990276,-0.38289408,negative,2021-01-06,Replies,0,0,0,0,Female,702
